$VEHJOURNEYSECTION:VEHJOURNEYNO,NO,FROMTPROFITEMINDEX,TOTPROFITEMINDEX,VALIDDAYSNO,VEHCOMBNO,VEHCOMBSET,ISOPTIONALREINFORCEMENT,PREPREPTIME,USESPECPREPREPTIME,POSTPREPTIME,USESPECPOSTPREPTIME,OPERATINGPERIODNO
1,1,1,21,1,,,0,0s,0,0s,0,
2,1,1,21,1,,,0,0s,0,0s,0,
3,1,1,21,1,,,0,0s,0,0s,0,
4,1,1,21,1,,,0,0s,0,0s,0,
5,1,1,34,1,,,0,0s,0,0s,0,
6,1,1,34,1,,,0,0s,0,0s,0,
7,1,1,34,1,,,0,0s,0,0s,0,
8,1,1,34,1,,,0,0s,0,0s,0,
9,1,1,34,1,,,0,0s,0,0s,0,
10,1,1,34,1,,,0,0s,0,0s,0,
11,1,1,34,1,,,0,0s,0,0s,0,
12,1,1,34,1,,,0,0s,0,0s,0,
13,1,1,34,1,,,0,0s,0,0s,0,
14,1,1,34,1,,,0,0s,0,0s,0,
15,1,1,34,1,,,0,0s,0,0s,0,
16,1,1,42,1,,,0,0s,0,0s,0,
17,1,1,42,1,,,0,0s,0,0s,0,
18,1,1,22,1,,,0,0s,0,0s,0,
19,1,1,22,1,,,0,0s,0,0s,0,
20,1,1,22,1,,,0,0s,0,0s,0,
21,1,1,22,1,,,0,0s,0,0s,0,
22,1,1,22,1,,,0,0s,0,0s,0,
23,1,1,22,1,,,0,0s,0,0s,0,
24,1,1,22,1,,,0,0s,0,0s,0,
25,1,1,22,1,,,0,0s,0,0s,0,
26,1,1,22,1,,,0,0s,0,0s,0,
27,1,1,32,1,,,0,0s,0,0s,0,
28,1,1,32,1,,,0,0s,0,0s,0,
29,1,1,32,1,,,0,0s,0,0s,0,
30,1,1,47,1,,,0,0s,0,0s,0,
31,1,1,29,1,,,0,0s,0,0s,0,
32,1,1,29,1,,,0,0s,0,0s,0,
33,1,1,29,1,,,0,0s,0,0s,0,
34,1,1,29,1,,,0,0s,0,0s,0,
35,1,1,29,1,,,0,0s,0,0s,0,
36,1,1,29,1,,,0,0s,0,0s,0,
37,1,1,29,1,,,0,0s,0,0s,0,
38,1,1,26,1,,,0,0s,0,0s,0,
39,1,1,26,1,,,0,0s,0,0s,0,
40,1,1,39,1,,,0,0s,0,0s,0,
41,1,1,39,1,,,0,0s,0,0s,0,
42,1,1,39,1,,,0,0s,0,0s,0,
43,1,1,39,1,,,0,0s,0,0s,0,
44,1,1,39,1,,,0,0s,0,0s,0,
45,1,1,39,1,,,0,0s,0,0s,0,
46,1,1,39,1,,,0,0s,0,0s,0,
47,1,1,107,1,,,0,0s,0,0s,0,
48,1,1,107,1,,,0,0s,0,0s,0,
49,1,1,107,1,,,0,0s,0,0s,0,
50,1,1,107,1,,,0,0s,0,0s,0,
51,1,1,107,1,,,0,0s,0,0s,0,
52,1,1,107,1,,,0,0s,0,0s,0,
53,1,1,107,1,,,0,0s,0,0s,0,
54,1,1,107,1,,,0,0s,0,0s,0,
55,1,1,107,1,,,0,0s,0,0s,0,
56,1,1,107,1,,,0,0s,0,0s,0,
57,1,1,107,1,,,0,0s,0,0s,0,
58,1,1,16,1,,,0,0s,0,0s,0,
59,1,1,46,1,,,0,0s,0,0s,0,
60,1,1,46,1,,,0,0s,0,0s,0,
61,1,1,46,1,,,0,0s,0,0s,0,
62,1,1,46,1,,,0,0s,0,0s,0,
63,1,1,46,1,,,0,0s,0,0s,0,
64,1,1,46,1,,,0,0s,0,0s,0,
65,1,1,46,1,,,0,0s,0,0s,0,
66,1,1,46,1,,,0,0s,0,0s,0,
67,1,1,46,1,,,0,0s,0,0s,0,
68,1,1,46,1,,,0,0s,0,0s,0,
69,1,1,46,1,,,0,0s,0,0s,0,
70,1,1,46,1,,,0,0s,0,0s,0,
71,1,1,46,1,,,0,0s,0,0s,0,
72,1,1,46,1,,,0,0s,0,0s,0,
73,1,1,48,1,,,0,0s,0,0s,0,
74,1,1,48,1,,,0,0s,0,0s,0,
75,1,1,48,1,,,0,0s,0,0s,0,
76,1,1,56,1,,,0,0s,0,0s,0,
77,1,1,56,1,,,0,0s,0,0s,0,
78,1,1,91,1,,,0,0s,0,0s,0,
79,1,1,91,1,,,0,0s,0,0s,0,
80,1,1,91,1,,,0,0s,0,0s,0,
81,1,1,91,1,,,0,0s,0,0s,0,
82,1,1,91,1,,,0,0s,0,0s,0,
83,1,1,91,1,,,0,0s,0,0s,0,
84,1,1,91,1,,,0,0s,0,0s,0,
85,1,1,92,1,,,0,0s,0,0s,0,
86,1,1,92,1,,,0,0s,0,0s,0,
87,1,1,92,1,,,0,0s,0,0s,0,
88,1,1,92,1,,,0,0s,0,0s,0,
89,1,1,92,1,,,0,0s,0,0s,0,
90,1,1,92,1,,,0,0s,0,0s,0,
91,1,1,92,1,,,0,0s,0,0s,0,
92,1,1,68,1,,,0,0s,0,0s,0,
93,1,1,68,1,,,0,0s,0,0s,0,
94,1,1,68,1,,,0,0s,0,0s,0,
95,1,1,68,1,,,0,0s,0,0s,0,
96,1,1,68,1,,,0,0s,0,0s,0,
97,1,1,68,1,,,0,0s,0,0s,0,
98,1,1,69,1,,,0,0s,0,0s,0,
99,1,1,69,1,,,0,0s,0,0s,0,
100,1,1,69,1,,,0,0s,0,0s,0,
101,1,1,69,1,,,0,0s,0,0s,0,
102,1,1,69,1,,,0,0s,0,0s,0,
103,1,1,69,1,,,0,0s,0,0s,0,
104,1,1,100,1,,,0,0s,0,0s,0,
105,1,1,100,1,,,0,0s,0,0s,0,
106,1,1,100,1,,,0,0s,0,0s,0,
107,1,1,100,1,,,0,0s,0,0s,0,
108,1,1,100,1,,,0,0s,0,0s,0,
109,1,1,100,1,,,0,0s,0,0s,0,
110,1,1,100,1,,,0,0s,0,0s,0,
111,1,1,100,1,,,0,0s,0,0s,0,
112,1,1,100,1,,,0,0s,0,0s,0,
113,1,1,100,1,,,0,0s,0,0s,0,
114,1,1,100,1,,,0,0s,0,0s,0,
115,1,1,100,1,,,0,0s,0,0s,0,
116,1,1,100,1,,,0,0s,0,0s,0,
117,1,1,100,1,,,0,0s,0,0s,0,
118,1,1,100,1,,,0,0s,0,0s,0,
119,1,1,117,1,,,0,0s,0,0s,0,
120,1,1,117,1,,,0,0s,0,0s,0,
121,1,1,117,1,,,0,0s,0,0s,0,
122,1,1,84,1,,,0,0s,0,0s,0,
123,1,1,84,1,,,0,0s,0,0s,0,
124,1,1,84,1,,,0,0s,0,0s,0,
125,1,1,84,1,,,0,0s,0,0s,0,
126,1,1,84,1,,,0,0s,0,0s,0,
127,1,1,84,1,,,0,0s,0,0s,0,
128,1,1,84,1,,,0,0s,0,0s,0,
129,1,1,84,1,,,0,0s,0,0s,0,
130,1,1,84,1,,,0,0s,0,0s,0,
131,1,1,84,1,,,0,0s,0,0s,0,
132,1,1,84,1,,,0,0s,0,0s,0,
133,1,1,70,1,,,0,0s,0,0s,0,
134,1,1,70,1,,,0,0s,0,0s,0,
135,1,1,70,1,,,0,0s,0,0s,0,
136,1,1,70,1,,,0,0s,0,0s,0,
137,1,1,70,1,,,0,0s,0,0s,0,
138,1,1,70,1,,,0,0s,0,0s,0,
139,1,1,70,1,,,0,0s,0,0s,0,
140,1,1,70,1,,,0,0s,0,0s,0,
141,1,1,70,1,,,0,0s,0,0s,0,
142,1,1,70,1,,,0,0s,0,0s,0,
143,1,1,74,1,,,0,0s,0,0s,0,
144,1,1,74,1,,,0,0s,0,0s,0,
145,1,1,74,1,,,0,0s,0,0s,0,
146,1,1,134,1,,,0,0s,0,0s,0,
147,1,1,134,1,,,0,0s,0,0s,0,
148,1,1,104,1,,,0,0s,0,0s,0,
149,1,1,104,1,,,0,0s,0,0s,0,
150,1,1,104,1,,,0,0s,0,0s,0,
151,1,1,104,1,,,0,0s,0,0s,0,
152,1,1,104,1,,,0,0s,0,0s,0,
153,1,1,104,1,,,0,0s,0,0s,0,
154,1,1,104,1,,,0,0s,0,0s,0,
155,1,1,104,1,,,0,0s,0,0s,0,
156,1,1,104,1,,,0,0s,0,0s,0,
157,1,1,104,1,,,0,0s,0,0s,0,
158,1,1,47,1,,,0,0s,0,0s,0,
159,1,1,47,1,,,0,0s,0,0s,0,
160,1,1,47,1,,,0,0s,0,0s,0,
161,1,1,148,1,,,0,0s,0,0s,0,
162,1,1,80,1,,,0,0s,0,0s,0,
163,1,1,80,1,,,0,0s,0,0s,0,
164,1,1,80,1,,,0,0s,0,0s,0,
165,1,1,80,1,,,0,0s,0,0s,0,
166,1,1,80,1,,,0,0s,0,0s,0,
167,1,1,80,1,,,0,0s,0,0s,0,
168,1,1,80,1,,,0,0s,0,0s,0,
169,1,1,80,1,,,0,0s,0,0s,0,
170,1,1,80,1,,,0,0s,0,0s,0,
171,1,1,80,1,,,0,0s,0,0s,0,
172,1,1,80,1,,,0,0s,0,0s,0,
173,1,1,80,1,,,0,0s,0,0s,0,
174,1,1,110,1,,,0,0s,0,0s,0,
175,1,1,110,1,,,0,0s,0,0s,0,
176,1,1,110,1,,,0,0s,0,0s,0,
177,1,1,110,1,,,0,0s,0,0s,0,
178,1,1,110,1,,,0,0s,0,0s,0,
179,1,1,110,1,,,0,0s,0,0s,0,
180,1,1,110,1,,,0,0s,0,0s,0,
181,1,1,92,1,,,0,0s,0,0s,0,
182,1,1,92,1,,,0,0s,0,0s,0,
183,1,1,92,1,,,0,0s,0,0s,0,
184,1,1,125,1,,,0,0s,0,0s,0,
185,1,1,125,1,,,0,0s,0,0s,0,
186,1,1,98,1,,,0,0s,0,0s,0,
187,1,1,98,1,,,0,0s,0,0s,0,
188,1,1,98,1,,,0,0s,0,0s,0,
189,1,1,98,1,,,0,0s,0,0s,0,
190,1,1,65,1,,,0,0s,0,0s,0,
191,1,1,60,1,,,0,0s,0,0s,0,
192,1,1,60,1,,,0,0s,0,0s,0,
193,1,1,60,1,,,0,0s,0,0s,0,
194,1,1,60,1,,,0,0s,0,0s,0,
195,1,1,60,1,,,0,0s,0,0s,0,
196,1,1,60,1,,,0,0s,0,0s,0,
197,1,1,60,1,,,0,0s,0,0s,0,
198,1,1,60,1,,,0,0s,0,0s,0,
199,1,1,60,1,,,0,0s,0,0s,0,
200,1,1,78,1,,,0,0s,0,0s,0,
201,1,1,78,1,,,0,0s,0,0s,0,
202,1,1,78,1,,,0,0s,0,0s,0,
203,1,1,78,1,,,0,0s,0,0s,0,
204,1,1,78,1,,,0,0s,0,0s,0,
205,1,1,78,1,,,0,0s,0,0s,0,
206,1,1,78,1,,,0,0s,0,0s,0,
207,1,1,78,1,,,0,0s,0,0s,0,
208,1,1,78,1,,,0,0s,0,0s,0,
209,1,1,78,1,,,0,0s,0,0s,0,
210,1,1,78,1,,,0,0s,0,0s,0,
211,1,1,113,1,,,0,0s,0,0s,0,
212,1,1,113,1,,,0,0s,0,0s,0,
213,1,1,113,1,,,0,0s,0,0s,0,
214,1,1,113,1,,,0,0s,0,0s,0,
215,1,1,113,1,,,0,0s,0,0s,0,
216,1,1,113,1,,,0,0s,0,0s,0,
217,1,1,113,1,,,0,0s,0,0s,0,
218,1,1,60,1,,,0,0s,0,0s,0,
219,1,1,60,1,,,0,0s,0,0s,0,
220,1,1,105,1,,,0,0s,0,0s,0,
221,1,1,105,1,,,0,0s,0,0s,0,
222,1,1,105,1,,,0,0s,0,0s,0,
223,1,1,105,1,,,0,0s,0,0s,0,
224,1,1,105,1,,,0,0s,0,0s,0,
225,1,1,105,1,,,0,0s,0,0s,0,
226,1,1,105,1,,,0,0s,0,0s,0,
227,1,1,105,1,,,0,0s,0,0s,0,
228,1,1,69,1,,,0,0s,0,0s,0,
229,1,1,69,1,,,0,0s,0,0s,0,
230,1,1,69,1,,,0,0s,0,0s,0,
231,1,1,69,1,,,0,0s,0,0s,0,
232,1,1,69,1,,,0,0s,0,0s,0,
233,1,1,69,1,,,0,0s,0,0s,0,
234,1,1,82,1,,,0,0s,0,0s,0,
235,1,1,74,1,,,0,0s,0,0s,0,
236,1,1,74,1,,,0,0s,0,0s,0,
237,1,1,74,1,,,0,0s,0,0s,0,
238,1,1,74,1,,,0,0s,0,0s,0,
239,1,1,74,1,,,0,0s,0,0s,0,
240,1,1,74,1,,,0,0s,0,0s,0,
241,1,1,74,1,,,0,0s,0,0s,0,
242,1,1,74,1,,,0,0s,0,0s,0,
243,1,1,100,1,,,0,0s,0,0s,0,
244,1,1,100,1,,,0,0s,0,0s,0,
245,1,1,100,1,,,0,0s,0,0s,0,
246,1,1,100,1,,,0,0s,0,0s,0,
247,1,1,100,1,,,0,0s,0,0s,0,
248,1,1,100,1,,,0,0s,0,0s,0,
249,1,1,100,1,,,0,0s,0,0s,0,
250,1,1,100,1,,,0,0s,0,0s,0,
251,1,1,93,1,,,0,0s,0,0s,0,
252,1,1,93,1,,,0,0s,0,0s,0,
253,1,1,93,1,,,0,0s,0,0s,0,
254,1,1,93,1,,,0,0s,0,0s,0,
255,1,1,94,1,,,0,0s,0,0s,0,
256,1,1,94,1,,,0,0s,0,0s,0,
257,1,1,94,1,,,0,0s,0,0s,0,
258,1,1,94,1,,,0,0s,0,0s,0,
